Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Poulet à la crème,"Escargots, Pâtes alimentaires, Vanille, Chocolat noir","Escargots, Pâtes alimentaires, Vanille, Chocolat noir","Gluten, Mollusques"
Crêpes sucrées,"Arachides, Oeufs, Farine de blé, Champignons, Sauce soja, Sauce brune","Arachides, Oeufs, Farine de blé, Champignons, Sauce soja, Sauce brune","Oeufs, Arachides, Gluten, Soja"
Crème brûlée,"Poulet, Sésame, Sauce brune","Poulet, Sésame, Sauce brune","Gluten, Graines de sésame"
Pain doré,"Vanille, Beurre, Lait, Poivrons, Sauce soja","Vanille, Beurre, Lait, Poivrons, Sauce soja","Lait, Soja"
Cassoulet,"Sésame, Champignons, Poulet, Huile végétale, Moutarde","Sésame, Champignons, Poulet, Huile végétale, Moutarde","Moutarde, Graines de sésame"
Tourtière,"Crème fraîche, Poivrons, Farine de blé","Crème fraîche, Poivrons, Farine de blé","Gluten, Lait"
Omelette au fromage,"Crevettes, Tomates, Sauce brune","Crevettes, Tomates, Sauce brune","Gluten, Crustacés"
Poulet rôti,"Sauce soja, Pâtes alimentaires, Farine de blé, Carottes","Sauce soja, Pâtes alimentaires, Farine de blé, Carottes","Gluten, Soja"
Fèves au lard,"Crème fraîche, Chocolat noir, Vanille, Pain, Sauce soja","Crème fraîche, Chocolat noir, Vanille, Pain, Sauce soja","Gluten, Lait, Soja"
Tourtière,"Tomates, Crème fraîche, Moutarde, Poivrons, Boeuf haché","Tomates, Crème fraîche, Moutarde, Poivrons, Boeuf haché","Moutarde, Lait"
Boeuf bourguignon,"Sauce brune, Poisson, Carottes, Oignons","Sauce brune, Poisson, Carottes, Oignons","Gluten, Poisson"
Hamburger steak,"Lait, Arachides, Oeufs, Céleri","Lait, Arachides, Oeufs, Céleri","Oeufs, Arachides, Lait, Céleri"
Escargots à l'ail,"Sésame, Lait, Poisson, Pommes de terre, Champignons","Sésame, Lait, Poisson, Pommes de terre, Champignons","Graines de sésame, Lait, Poisson"
Gâteau au chocolat,"Boeuf haché, Pommes de terre, Sauce soja, Noisettes","Boeuf haché, Pommes de terre, Sauce soja, Noisettes","Fruits à coque, Soja"
Crêpes sucrées,"Farine de blé, Boeuf haché, Sésame, Lait, Huile végétale","Farine de blé, Boeuf haché, Sésame, Lait, Huile végétale","Gluten, Graines de sésame, Lait"
Pain doré,"Noix de cajou, Champignons, Beurre, Poivrons","Noix de cajou, Champignons, Beurre, Poivrons","Fruits à coque, Lait"
Éclair au café,"Lait, Pommes de terre, Tomates, Chocolat noir, Pain","Lait, Pommes de terre, Tomates, Chocolat noir, Pain","Gluten, Lait"
Lasagne bolognaise,"Poulet, Moutarde, Carottes, Noisettes, Sauce soja, Pâtes alimentaires","Poulet, Moutarde, Carottes, Noisettes, Sauce soja, Pâtes alimentaires","Moutarde, Gluten, Fruits à coque, Soja"
Quiche lorraine,"Céleri, Noix de cajou, Sauce brune, Crème fraîche, Beurre","Céleri, Noix de cajou, Sauce brune, Crème fraîche, Beurre","Fruits à coque, Gluten, Lait, Céleri"
Gâteau au chocolat,"Carottes, Poulet, Arachides, Pâtes alimentaires, Lait","Carottes, Poulet, Arachides, Pâtes alimentaires, Lait","Gluten, Arachides, Lait"
Moules-frites,"Sésame, Sauce soja, Lait","Sésame, Sauce soja, Lait","Graines de sésame, Lait, Soja"
Pain doré,"Noix de cajou, Crevettes, Oignons, Poisson, Pâtes alimentaires","Noix de cajou, Crevettes, Oignons, Poisson, Pâtes alimentaires","Fruits à coque, Poisson, Gluten, Crustacés"
Filet de saumon,"Lait, Oeufs, Boeuf haché","Lait, Oeufs, Boeuf haché","Oeufs, Lait"
Macarons,"Escargots, Oignons, Beurre, Carottes, Farine de blé, Vanille","Escargots, Oignons, Beurre, Carottes, Farine de blé, Vanille","Gluten, Lait, Mollusques"
Pain doré,"Noix de cajou, Fromage en grains, Escargots, Sauce soja, Noisettes","Noix de cajou, Fromage en grains, Escargots, Sauce soja, Noisettes","Fruits à coque, Lait, Mollusques, Soja"
Pizza au fromage,"Pain, Sauce soja, Crème fraîche","Pain, Sauce soja, Crème fraîche","Gluten, Lait, Soja"
Profiteroles,"Vanille, Chocolat noir, Poulet, Pain, Pommes de terre, Farine de blé","Vanille, Chocolat noir, Poulet, Pain, Pommes de terre, Farine de blé",Gluten
Moules-frites,"Céleri, Pain, Poisson, Pommes de terre, Chocolat noir, Beurre","Céleri, Pain, Poisson, Pommes de terre, Chocolat noir, Beurre","Gluten, Lait, Céleri, Poisson"
Fondue au fromage,"Pommes de terre, Moutarde, Sauce brune","Pommes de terre, Moutarde, Sauce brune","Moutarde, Gluten"
Poutine classique,"Pommes de terre, Farine de blé, Noisettes, Pâtes alimentaires","Pommes de terre, Farine de blé, Noisettes, Pâtes alimentaires","Fruits à coque, Gluten"
Omelette au fromage,"Escargots, Boeuf haché, Beurre, Crevettes","Escargots, Boeuf haché, Beurre, Crevettes","Lait, Mollusques, Crustacés"
Ratatouille,"Sauce brune, Céleri, Arachides","Sauce brune, Céleri, Arachides","Gluten, Arachides, Céleri"
Macarons,"Chocolat noir, Oeufs, Boeuf haché, Noix de cajou, Escargots","Chocolat noir, Oeufs, Boeuf haché, Noix de cajou, Escargots","Fruits à coque, Oeufs, Mollusques"
Magret de canard,"Escargots, Oignons, Chocolat noir, Huile végétale, Arachides, Pain","Escargots, Oignons, Chocolat noir, Huile végétale, Arachides, Pain","Gluten, Arachides, Mollusques"
Boeuf stroganoff,"Pommes de terre, Noisettes, Pain","Pommes de terre, Noisettes, Pain","Fruits à coque, Gluten"
Pâté chinois,"Fromage en grains, Tomates, Noix de cajou, Pain","Fromage en grains, Tomates, Noix de cajou, Pain","Fruits à coque, Gluten, Lait"
Pizza au fromage,"Chocolat noir, Huile végétale, Pain, Pommes de terre, Moutarde, Farine de blé","Chocolat noir, Huile végétale, Pain, Pommes de terre, Moutarde, Farine de blé","Moutarde, Gluten"
Hamburger steak,"Huile végétale, Crevettes, Beurre","Huile végétale, Crevettes, Beurre","Lait, Crustacés"
Saucisses et purée,"Arachides, Pain, Poulet, Chocolat noir, Poisson","Arachides, Pain, Poulet, Chocolat noir, Poisson","Gluten, Arachides, Poisson"
Boeuf bourguignon,"Pommes de terre, Beurre, Sauce soja, Crevettes, Poisson, Poivrons","Pommes de terre, Beurre, Sauce soja, Crevettes, Poisson, Poivrons","Poisson, Lait, Crustacés, Soja"
Pâté chinois,"Pommes de terre, Oeufs, Champignons, Lait, Escargots, Crème fraîche","Pommes de terre, Oeufs, Champignons, Lait, Escargots, Crème fraîche","Oeufs, Lait, Mollusques"
Soupe aux pois,"Moutarde, Poulet, Pain","Moutarde, Poulet, Pain","Moutarde, Gluten"
Poulet à la crème,"Poivrons, Lait, Beurre, Huile végétale, Noix de cajou, Oeufs","Poivrons, Lait, Beurre, Huile végétale, Noix de cajou, Oeufs","Fruits à coque, Oeufs, Lait"
Crêpes sucrées,"Champignons, Lait, Moutarde, Boeuf haché, Oeufs","Champignons, Lait, Moutarde, Boeuf haché, Oeufs","Moutarde, Oeufs, Lait"
Pain doré,"Arachides, Noix de cajou, Poulet, Sauce brune","Arachides, Noix de cajou, Poulet, Sauce brune","Fruits à coque, Gluten, Arachides"
Spaghetti carbonara,"Poivrons, Fromage en grains, Oignons, Moutarde, Lait","Poivrons, Fromage en grains, Oignons, Moutarde, Lait","Moutarde, Lait"
Tourtière,"Huile végétale, Vanille, Tomates, Moutarde, Sauce brune, Champignons","Huile végétale, Vanille, Tomates, Moutarde, Sauce brune, Champignons","Moutarde, Gluten"
Tarte au sucre,"Poulet, Sésame, Boeuf haché, Pommes de terre","Poulet, Sésame, Boeuf haché, Pommes de terre",Graines de sésame
Raclette,"Fromage en grains, Poisson, Lait, Sauce soja, Pommes de terre","Fromage en grains, Poisson, Lait, Sauce soja, Pommes de terre","Lait, Soja, Poisson"
Gâteau au chocolat,"Fromage en grains, Vanille, Céleri, Farine de blé, Pâtes alimentaires, Carottes","Fromage en grains, Vanille, Céleri, Farine de blé, Pâtes alimentaires, Carottes","Gluten, Lait, Céleri"
Moules-frites,"Noix de cajou, Oignons, Arachides","Noix de cajou, Oignons, Arachides","Fruits à coque, Arachides"
Tarte au sucre,"Lait, Chocolat noir, Sauce soja, Sauce brune","Lait, Chocolat noir, Sauce soja, Sauce brune","Gluten, Lait, Soja"
Macarons,"Céleri, Moutarde, Poulet, Pain","Céleri, Moutarde, Poulet, Pain","Moutarde, Gluten, Céleri"
Pizza au fromage,"Carottes, Oeufs, Oignons, Pâtes alimentaires, Lait","Carottes, Oeufs, Oignons, Pâtes alimentaires, Lait","Oeufs, Gluten, Lait"
Tourtière,"Farine de blé, Beurre, Sésame","Farine de blé, Beurre, Sésame","Gluten, Graines de sésame, Lait"
Salade César,"Moutarde, Huile végétale, Pain","Moutarde, Huile végétale, Pain","Moutarde, Gluten"
Soupe à l'oignon,"Noix de cajou, Pommes de terre, Céleri, Sésame, Boeuf haché, Crème fraîche","Noix de cajou, Pommes de terre, Céleri, Sésame, Boeuf haché, Crème fraîche","Fruits à coque, Graines de sésame, Lait, Céleri"
Fèves au lard,"Noisettes, Céleri, Pommes de terre, Oignons","Noisettes, Céleri, Pommes de terre, Oignons","Fruits à coque, Céleri"
Coquilles Saint-Jacques,"Carottes, Champignons, Pain, Céleri, Poulet, Vanille","Carottes, Champignons, Pain, Céleri, Poulet, Vanille","Gluten, Céleri"
Filet de saumon,"Sauce brune, Farine de blé, Boeuf haché, Poulet, Huile végétale, Champignons","Sauce brune, Farine de blé, Boeuf haché, Poulet, Huile végétale, Champignons",Gluten
Croque-monsieur,"Noix de cajou, Escargots, Crevettes, Chocolat noir, Crème fraîche","Noix de cajou, Escargots, Crevettes, Chocolat noir, Crème fraîche","Fruits à coque, Lait, Mollusques, Crustacés"
Pot-au-feu,"Vanille, Pain, Sauce brune, Poivrons","Vanille, Pain, Sauce brune, Poivrons",Gluten
Soupe aux pois,"Crème fraîche, Crevettes, Oeufs, Pommes de terre, Sauce soja","Crème fraîche, Crevettes, Oeufs, Pommes de terre, Sauce soja","Oeufs, Lait, Soja, Crustacés"
Moules-frites,"Sésame, Tomates, Poisson, Chocolat noir, Crème fraîche, Céleri","Sésame, Tomates, Poisson, Chocolat noir, Crème fraîche, Céleri","Graines de sésame, Lait, Céleri, Poisson"
Quiche lorraine,"Farine de blé, Sauce brune, Arachides","Farine de blé, Sauce brune, Arachides","Gluten, Arachides"
Moules-frites,"Lait, Vanille, Farine de blé, Poulet, Crème fraîche","Lait, Vanille, Farine de blé, Poulet, Crème fraîche","Gluten, Lait"
Chili con carne,"Escargots, Sésame, Crème fraîche, Tomates, Pain, Pâtes alimentaires","Escargots, Sésame, Crème fraîche, Tomates, Pain, Pâtes alimentaires","Gluten, Graines de sésame, Lait, Mollusques"
Pain doré,"Escargots, Carottes, Beurre, Lait, Poivrons, Pommes de terre","Escargots, Carottes, Beurre, Lait, Poivrons, Pommes de terre","Lait, Mollusques"
Boeuf bourguignon,"Oeufs, Poivrons, Lait, Sauce soja, Boeuf haché, Pâtes alimentaires","Oeufs, Poivrons, Lait, Sauce soja, Boeuf haché, Pâtes alimentaires","Oeufs, Gluten, Lait, Soja"
Poulet à la crème,"Crème fraîche, Moutarde, Vanille","Crème fraîche, Moutarde, Vanille","Moutarde, Lait"
Raclette,"Vanille, Moutarde, Poivrons","Vanille, Moutarde, Poivrons",Moutarde
Coquilles Saint-Jacques,"Oeufs, Fromage en grains, Céleri, Sauce soja, Poisson","Oeufs, Fromage en grains, Céleri, Sauce soja, Poisson","Oeufs, Céleri, Soja, Lait, Poisson"
Saucisses et purée,"Oeufs, Huile végétale, Lait, Pain, Boeuf haché","Oeufs, Huile végétale, Lait, Pain, Boeuf haché","Oeufs, Gluten, Lait"
Hamburger steak,"Pain, Sauce soja, Fromage en grains","Pain, Sauce soja, Fromage en grains","Gluten, Lait, Soja"
Pot-au-feu,"Chocolat noir, Champignons, Huile végétale","Chocolat noir, Champignons, Huile végétale",Aucun
Escargots à l'ail,"Poivrons, Moutarde, Sauce brune","Poivrons, Moutarde, Sauce brune","Moutarde, Gluten"
Poulet rôti,"Poisson, Escargots, Sésame, Sauce brune","Poisson, Escargots, Sésame, Sauce brune","Gluten, Graines de sésame, Mollusques, Poisson"
Poutine classique,"Pain, Céleri, Escargots, Carottes, Oignons, Tomates","Pain, Céleri, Escargots, Carottes, Oignons, Tomates","Gluten, Mollusques, Céleri"
Quiche lorraine,"Pain, Oeufs, Pâtes alimentaires, Noix de cajou","Pain, Oeufs, Pâtes alimentaires, Noix de cajou","Fruits à coque, Gluten, Oeufs"
Crêpes sucrées,"Noisettes, Escargots, Lait, Carottes","Noisettes, Escargots, Lait, Carottes","Fruits à coque, Lait, Mollusques"
Gâteau au chocolat,"Noisettes, Vanille, Escargots, Huile végétale, Pâtes alimentaires, Sauce brune","Noisettes, Vanille, Escargots, Huile végétale, Pâtes alimentaires, Sauce brune","Fruits à coque, Gluten, Mollusques"
Chili con carne,"Oeufs, Tomates, Pommes de terre","Oeufs, Tomates, Pommes de terre",Oeufs
Crêpes sucrées,"Oeufs, Moutarde, Crevettes, Céleri, Vanille, Farine de blé","Oeufs, Moutarde, Crevettes, Céleri, Vanille, Farine de blé","Oeufs, Céleri, Moutarde, Gluten, Crustacés"
Salade niçoise,"Boeuf haché, Noix de cajou, Poivrons","Boeuf haché, Noix de cajou, Poivrons",Fruits à coque
Tourtière,"Céleri, Sauce soja, Sauce brune, Lait","Céleri, Sauce soja, Sauce brune, Lait","Gluten, Lait, Céleri, Soja"
Pâté chinois,"Sauce soja, Poisson, Sauce brune, Oignons","Sauce soja, Poisson, Sauce brune, Oignons","Poisson, Gluten, Soja"
Pot-au-feu,"Pain, Lait, Pâtes alimentaires, Noisettes, Escargots, Crème fraîche","Pain, Lait, Pâtes alimentaires, Noisettes, Escargots, Crème fraîche","Fruits à coque, Gluten, Lait, Mollusques"
Chili con carne,"Noix de cajou, Chocolat noir, Fromage en grains, Boeuf haché, Poulet, Escargots","Noix de cajou, Chocolat noir, Fromage en grains, Boeuf haché, Poulet, Escargots","Fruits à coque, Lait, Mollusques"
Boeuf stroganoff,"Sésame, Moutarde, Pain, Céleri, Poisson","Sésame, Moutarde, Pain, Céleri, Poisson","Graines de sésame, Céleri, Poisson, Moutarde, Gluten"
Fondue au fromage,"Moutarde, Champignons, Lait, Vanille, Poisson","Moutarde, Champignons, Lait, Vanille, Poisson","Moutarde, Lait, Poisson"
Spaghetti carbonara,"Moutarde, Noisettes, Crème fraîche, Fromage en grains","Moutarde, Noisettes, Crème fraîche, Fromage en grains","Moutarde, Lait, Fruits à coque"
Hamburger steak,"Escargots, Céleri, Beurre, Crevettes, Boeuf haché","Escargots, Céleri, Beurre, Crevettes, Boeuf haché","Lait, Mollusques, Céleri, Crustacés"
Poutine classique,"Pain, Crevettes, Chocolat noir, Arachides, Poisson, Lait","Pain, Crevettes, Chocolat noir, Arachides, Poisson, Lait","Arachides, Lait, Poisson, Gluten, Crustacés"
Poutine classique,"Beurre, Sauce brune, Poulet, Pain, Crevettes, Noisettes","Beurre, Sauce brune, Poulet, Pain, Crevettes, Noisettes","Fruits à coque, Gluten, Lait, Crustacés"
Éclair au café,"Poisson, Poulet, Noisettes, Noix de cajou, Oignons","Poisson, Poulet, Noisettes, Noix de cajou, Oignons","Fruits à coque, Poisson"
Poulet à la crème,"Carottes, Crème fraîche, Oeufs, Champignons, Oignons, Vanille","Carottes, Crème fraîche, Oeufs, Champignons, Oignons, Vanille","Oeufs, Lait"
Pain doré,"Poulet, Sauce soja, Pommes de terre, Champignons, Noisettes","Poulet, Sauce soja, Pommes de terre, Champignons, Noisettes","Fruits à coque, Soja"
Macarons,"Poisson, Crevettes, Sauce soja, Crème fraîche, Pain, Escargots","Poisson, Crevettes, Sauce soja, Crème fraîche, Pain, Escargots","Soja, Lait, Poisson, Gluten, Mollusques, Crustacés"
Spaghetti carbonara,"Noix de cajou, Oeufs, Crème fraîche, Poulet, Huile végétale","Noix de cajou, Oeufs, Crème fraîche, Poulet, Huile végétale","Fruits à coque, Oeufs, Lait"
Gâteau au chocolat,"Chocolat noir, Pâtes alimentaires, Moutarde, Poivrons, Fromage en grains, Céleri","Chocolat noir, Pâtes alimentaires, Moutarde, Poivrons, Fromage en grains, Céleri","Moutarde, Gluten, Lait, Céleri"
Salade niçoise,"Oeufs, Noisettes, Poulet, Pain, Farine de blé","Oeufs, Noisettes, Poulet, Pain, Farine de blé","Fruits à coque, Oeufs, Gluten"
Gâteau au chocolat,"Crevettes, Champignons, Poivrons, Poulet, Pommes de terre","Crevettes, Champignons, Poivrons, Poulet, Pommes de terre",Crustacés
Fèves au lard,"Noisettes, Poisson, Poivrons","Noisettes, Poisson, Poivrons","Fruits à coque, Poisson"
Salade César,"Sauce soja, Pommes de terre, Crevettes, Poulet","Sauce soja, Pommes de terre, Crevettes, Poulet","Crustacés, Soja"
Hamburger steak,"Crevettes, Vanille, Crème fraîche, Sésame","Crevettes, Vanille, Crème fraîche, Sésame","Graines de sésame, Lait, Crustacés"
Soupe aux pois,"Sésame, Crevettes, Farine de blé","Sésame, Crevettes, Farine de blé","Gluten, Graines de sésame, Crustacés"
Coquilles Saint-Jacques,"Pâtes alimentaires, Oignons, Tomates, Pommes de terre, Huile végétale","Pâtes alimentaires, Oignons, Tomates, Pommes de terre, Huile végétale",Gluten
Boeuf bourguignon,"Poisson, Crevettes, Pain","Poisson, Crevettes, Pain","Gluten, Crustacés, Poisson"
Spaghetti carbonara,"Fromage en grains, Crevettes, Pommes de terre, Tomates, Poisson, Sauce brune","Fromage en grains, Crevettes, Pommes de terre, Tomates, Poisson, Sauce brune","Poisson, Gluten, Lait, Crustacés"
Boeuf bourguignon,"Poulet, Pain, Pâtes alimentaires","Poulet, Pain, Pâtes alimentaires",Gluten
Quiche lorraine,"Vanille, Pain, Pâtes alimentaires, Moutarde, Beurre","Vanille, Pain, Pâtes alimentaires, Moutarde, Beurre","Moutarde, Gluten, Lait"
Ratatouille,"Beurre, Carottes, Chocolat noir, Moutarde, Huile végétale, Pâtes alimentaires","Beurre, Carottes, Chocolat noir, Moutarde, Huile végétale, Pâtes alimentaires","Moutarde, Gluten, Lait"
Magret de canard,"Oignons, Boeuf haché, Sésame, Poulet, Céleri","Oignons, Boeuf haché, Sésame, Poulet, Céleri","Graines de sésame, Céleri"
Pain doré,"Oignons, Champignons, Pommes de terre, Pâtes alimentaires, Noisettes","Oignons, Champignons, Pommes de terre, Pâtes alimentaires, Noisettes","Fruits à coque, Gluten"
Boeuf bourguignon,"Moutarde, Tomates, Pâtes alimentaires, Beurre","Moutarde, Tomates, Pâtes alimentaires, Beurre","Moutarde, Gluten, Lait"
Soupe aux pois,"Lait, Pommes de terre, Arachides, Poisson, Beurre","Lait, Pommes de terre, Arachides, Poisson, Beurre","Arachides, Lait, Poisson"
Lasagne bolognaise,"Carottes, Champignons, Pâtes alimentaires, Farine de blé, Boeuf haché, Pommes de terre","Carottes, Champignons, Pâtes alimentaires, Farine de blé, Boeuf haché, Pommes de terre",Gluten
Boeuf bourguignon,"Tomates, Vanille, Poisson, Arachides","Tomates, Vanille, Poisson, Arachides","Arachides, Poisson"
Salade César,"Pâtes alimentaires, Moutarde, Huile végétale, Carottes, Pommes de terre","Pâtes alimentaires, Moutarde, Huile végétale, Carottes, Pommes de terre","Moutarde, Gluten"
Gâteau au chocolat,"Escargots, Carottes, Farine de blé, Pâtes alimentaires, Arachides","Escargots, Carottes, Farine de blé, Pâtes alimentaires, Arachides","Gluten, Arachides, Mollusques"
Profiteroles,"Escargots, Champignons, Beurre","Escargots, Champignons, Beurre","Lait, Mollusques"
Moules-frites,"Champignons, Escargots, Fromage en grains, Vanille, Pain","Champignons, Escargots, Fromage en grains, Vanille, Pain","Gluten, Lait, Mollusques"
Pot-au-feu,"Moutarde, Oignons, Crème fraîche, Tomates, Fromage en grains","Moutarde, Oignons, Crème fraîche, Tomates, Fromage en grains","Moutarde, Lait"
Moules-frites,"Pommes de terre, Champignons, Céleri","Pommes de terre, Champignons, Céleri",Céleri
Cassoulet,"Arachides, Pain, Noix de cajou, Moutarde, Crevettes","Arachides, Pain, Noix de cajou, Moutarde, Crevettes","Fruits à coque, Arachides, Moutarde, Gluten, Crustacés"
Tarte au sucre,"Oeufs, Poulet, Céleri, Crevettes, Tomates","Oeufs, Poulet, Céleri, Crevettes, Tomates","Oeufs, Céleri, Crustacés"
Quiche lorraine,"Sésame, Escargots, Chocolat noir, Carottes, Arachides, Oeufs","Sésame, Escargots, Chocolat noir, Carottes, Arachides, Oeufs","Oeufs, Graines de sésame, Mollusques, Arachides"
Boeuf bourguignon,"Sésame, Escargots, Poulet","Sésame, Escargots, Poulet","Graines de sésame, Mollusques"
Pot-au-feu,"Beurre, Oeufs, Huile végétale, Moutarde, Poulet, Crème fraîche","Beurre, Oeufs, Huile végétale, Moutarde, Poulet, Crème fraîche","Moutarde, Oeufs, Lait"
Spaghetti carbonara,"Céleri, Huile végétale, Pâtes alimentaires, Sauce brune","Céleri, Huile végétale, Pâtes alimentaires, Sauce brune","Gluten, Céleri"
Fondue au fromage,"Tomates, Céleri, Sauce soja","Tomates, Céleri, Sauce soja","Céleri, Soja"
Pot-au-feu,"Poivrons, Céleri, Carottes, Chocolat noir","Poivrons, Céleri, Carottes, Chocolat noir",Céleri
Coquilles Saint-Jacques,"Vanille, Poisson, Beurre, Noix de cajou, Crevettes, Tomates","Vanille, Poisson, Beurre, Noix de cajou, Crevettes, Tomates","Fruits à coque, Lait, Crustacés, Poisson"
Poulet rôti,"Moutarde, Poivrons, Tomates, Fromage en grains, Pommes de terre","Moutarde, Poivrons, Tomates, Fromage en grains, Pommes de terre","Moutarde, Lait"
Pain doré,"Pâtes alimentaires, Céleri, Champignons, Lait, Fromage en grains, Poisson","Pâtes alimentaires, Céleri, Champignons, Lait, Fromage en grains, Poisson","Gluten, Lait, Céleri, Poisson"
Macarons,"Poivrons, Oeufs, Chocolat noir, Fromage en grains, Boeuf haché, Poisson","Poivrons, Oeufs, Chocolat noir, Fromage en grains, Boeuf haché, Poisson","Oeufs, Lait, Poisson"
Pain doré,"Vanille, Oignons, Chocolat noir","Vanille, Oignons, Chocolat noir",Aucun
Moules-frites,"Céleri, Tomates, Poulet, Sauce soja, Crevettes","Céleri, Tomates, Poulet, Sauce soja, Crevettes","Crustacés, Céleri, Soja"
Escargots à l'ail,"Noisettes, Tomates, Oignons, Pain","Noisettes, Tomates, Oignons, Pain","Fruits à coque, Gluten"
Tarte au sucre,"Arachides, Poulet, Crevettes, Poisson","Arachides, Poulet, Crevettes, Poisson","Poisson, Arachides, Crustacés"
Tourtière,"Crème fraîche, Huile végétale, Chocolat noir, Sésame","Crème fraîche, Huile végétale, Chocolat noir, Sésame","Graines de sésame, Lait"
Soupe aux pois,"Oignons, Crème fraîche, Noix de cajou","Oignons, Crème fraîche, Noix de cajou","Fruits à coque, Lait"
Tourtière,"Sauce brune, Céleri, Escargots, Arachides, Pain, Pommes de terre","Sauce brune, Céleri, Escargots, Arachides, Pain, Pommes de terre","Gluten, Arachides, Mollusques, Céleri"
Fèves au lard,"Champignons, Chocolat noir, Sésame, Pommes de terre, Sauce brune, Oeufs","Champignons, Chocolat noir, Sésame, Pommes de terre, Sauce brune, Oeufs","Gluten, Graines de sésame, Oeufs"
Pizza au fromage,"Fromage en grains, Poulet, Sésame, Farine de blé, Boeuf haché, Tomates","Fromage en grains, Poulet, Sésame, Farine de blé, Boeuf haché, Tomates","Gluten, Graines de sésame, Lait"
Tarte au sucre,"Poivrons, Escargots, Vanille, Farine de blé, Fromage en grains, Crevettes","Poivrons, Escargots, Vanille, Farine de blé, Fromage en grains, Crevettes","Gluten, Lait, Mollusques, Crustacés"
Salade niçoise,"Pain, Pâtes alimentaires, Noix de cajou","Pain, Pâtes alimentaires, Noix de cajou","Fruits à coque, Gluten"
Poulet rôti,"Pâtes alimentaires, Champignons, Oeufs, Farine de blé, Crevettes","Pâtes alimentaires, Champignons, Oeufs, Farine de blé, Crevettes","Gluten, Oeufs, Crustacés"
Boeuf stroganoff,"Noix de cajou, Boeuf haché, Lait, Oeufs, Poisson, Arachides","Noix de cajou, Boeuf haché, Lait, Oeufs, Poisson, Arachides","Fruits à coque, Oeufs, Arachides, Lait, Poisson"
Chili con carne,"Pain, Champignons, Chocolat noir, Escargots, Beurre, Fromage en grains","Pain, Champignons, Chocolat noir, Escargots, Beurre, Fromage en grains","Gluten, Lait, Mollusques"
Poutine classique,"Carottes, Noix de cajou, Escargots, Boeuf haché","Carottes, Noix de cajou, Escargots, Boeuf haché","Fruits à coque, Mollusques"
Gâteau au chocolat,"Pommes de terre, Beurre, Arachides, Farine de blé, Fromage en grains, Poivrons","Pommes de terre, Beurre, Arachides, Farine de blé, Fromage en grains, Poivrons","Gluten, Arachides, Lait"
Éclair au café,"Arachides, Moutarde, Crème fraîche","Arachides, Moutarde, Crème fraîche","Moutarde, Arachides, Lait"
Pizza au fromage,"Pâtes alimentaires, Sauce soja, Vanille, Poivrons","Pâtes alimentaires, Sauce soja, Vanille, Poivrons","Gluten, Soja"
